Kabupaten/Kota,Jumlah Laki-laki,Jumlah Perempuan,Jumlah Total,Rasio Jenis Kelamin
Buton,127344,134383,261727,94.76
Muna,135161,144767,279928,93.36
Konawe,114666,109062,223727,105.14
Kolaka,114189,109192,223381,104.58
Konawe Selatan,144441,136154,280595,106.09
Bombana,75901,74285,150186,102.18
Wakatobi,45678,49579,95157,92.32
Kolaka Utara,66990,62963,129953,106.40
Buton Utara,28880,26542,57422,1101.18
Konawe Utara,28665,26087,52752,109.88
Kolaka Timur,59016,54818,113834,107.66
Konawe Kep.,15179,15217,30396,99.75
Kota Kendari,158599,155527,314126,101.98
Kota Bau-Bau,71817,73610,145427,97.56
